Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Nature,latitude,longitude,temp,humidity,pressure,wind_speed,wind_deg,rain_1h,Nature_encoded,date_str,image_path
2014,6330,66,66190,Salses-le-Château,2014-01-02 14:56:00,10000,300.0,10000.0,0.0,0.0,0.0,0.0,0.0,,1.0,Involontaire (particulier),42.5086759,3.0740691,13.9,69.0,1013.3,7.6,140.0,0.0,1,2014-01-02,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_0_42.5087_3.0741_2014-01-02.png
2014,6439,66,66196,Sorède,2014-01-17 16:40:00,10000,300.0,10000.0,0.0,0.0,0.0,0.0,0.0,,1.0,Involontaire (travaux),32.7569047,-97.0696914,9.0,21.0,1028.5,14.8,330.0,0.0,2,2014-01-17,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_7_32.7569_-97.0697_2014-01-17.png
2014,1986,06,06122,Saint-Jeannet,2014-01-26 12:21:00,3000,300.0,3000.0,0.0,0.0,0.0,0.0,0.0,,1.0,Malveillance,45.3040179,5.9066133,8.5,69.0,1017.0,5.4,50.0,0.0,3,2014-01-26,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_12_45.3040_5.9066_2014-01-26.png
2014,6548,66,66037,Canet-en-Roussillon,2014-01-26 16:14:00,15000,300.0,15000.0,0.0,0.0,0.0,0.0,0.0,,1.0,Malveillance,39.7133103,21.6160571,20.6,53.0,1016.9,11.2,210.0,0.0,3,2014-01-26,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_15_39.7133_21.6161_2014-01-26.png
2014,6658,83,83090,Ollioules,2014-01-27 11:11:00,250,250.0,800.0,0.0,0.0,0.0,0.0,0.0,,4.0,Malveillance,43.1116379,5.9424841,12.4,37.0,1001.5,35.3,310.0,0.0,3,2014-01-27,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_17_43.1116_5.9425_2014-01-27.png
2014,2008,06,06074,Lantosque,2014-01-27 12:00:00,36000,300.0,36000.0,0.0,0.0,0.0,0.0,0.0,,1.0,Malveillance,43.0793983,2.1754217,8.0,78.0,1008.0,31.7,290.0,0.0,3,2014-01-27,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_18_43.0794_2.1754_2014-01-27.png
2014,869,41,41232,Salbris,2014-02-07 10:02:00,6500,6500.0,800.0,0.0,0.0,0.0,0.0,0.0,Estimées,1.0,Accidentelle,46.2337295,5.3538775,7.3,89.0,1009.3,11.2,160.0,0.8,0,2014-02-07,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_24_46.2337_5.3539_2014-02-07.png
2014,2514,66,66069,Espira-de-l'Agly,2014-02-11 13:55:00,20000,300.0,20000.0,0.0,0.0,0.0,0.0,0.0,,1.0,Involontaire (particulier),32.7569047,-97.0696914,-2.0,86.0,1027.0,18.4,360.0,0.0,1,2014-02-11,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_26_32.7569_-97.0697_2014-02-11.png
2014,3812,34,34075,Cesseras,2014-02-12 14:10:00,9500,2000.0,7500.0,0.0,0.0,0.0,0.0,0.0,,1.0,Malveillance,46.2337295,5.3538775,10.0,61.0,1010.7,13.0,170.0,0.0,3,2014-02-12,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_27_46.2337_5.3539_2014-02-12.png
2014,5039,11,11014,Armissan,2014-02-12 17:23:00,15321,300.0,15321.0,0.0,0.0,0.0,0.0,0.0,,1.0,Involontaire (travaux),45.8319718,7.7395665,20.6,53.0,1016.9,11.2,210.0,0.0,2,2014-02-12,C:\Users\Antoine Dupont\Documents\!EFREI\OneDrive - Efrei\!Cours\Machine Learning\Project\Forest-Fire-Prediction\fire_images\fire_28_45.8320_7.7396_2014-02-12.png
